,0,1,2
0,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
1,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
2,1.760470397690263e-05,1.7250897046646426e-05,0.00012116561319897414
3,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
4,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
5,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
6,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
7,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
8,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
9,1.760470397690263e-05,3.450179409329285e-05,6.058280659948707e-05
10,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
11,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
12,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
13,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
14,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
15,1.760470397690263e-05,3.450179409329285e-05,4.0388537732991375e-05
16,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
17,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
18,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
19,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
20,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
21,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
22,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
23,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
24,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
25,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
26,1.760470397690263e-05,3.450179409329285e-05,0.00010097134433247844
27,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
28,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
29,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
30,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
31,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
32,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
33,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
34,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
35,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
36,3.520940795380526e-05,1.7250897046646426e-05,6.058280659948707e-05
37,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
38,1.760470397690263e-05,3.450179409329285e-05,4.0388537732991375e-05
39,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
40,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
41,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
42,1.760470397690263e-05,3.450179409329285e-05,6.058280659948707e-05
43,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
44,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
45,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
46,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
47,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
48,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
49,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
50,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
51,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
52,1.760470397690263e-05,6.90035881865857e-05,4.0388537732991375e-05
53,1.760470397690263e-05,3.450179409329285e-05,6.058280659948707e-05
54,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
55,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
56,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
57,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
58,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
59,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
60,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
61,1.760470397690263e-05,3.450179409329285e-05,6.058280659948707e-05
62,1.760470397690263e-05,5.1752691139939274e-05,8.077707546598275e-05
63,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
64,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
65,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
66,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
67,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
68,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
69,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
70,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
71,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
