,0
0,-0.7482838034629822
1,1.717582106590271
2,-4.1115264892578125
3,-0.24005068838596344
4,0.31813621520996094
5,0.1779763102531433
6,-0.08531619608402252
7,1.1746528148651123
8,-1.109370231628418
9,0.7128076553344727
10,1.4363352060317993
11,1.5166279077529907
12,-0.11133590340614319
13,0.3482499420642853
14,1.14781653881073
15,-0.44232845306396484
16,-0.4152769446372986
17,-0.9417980313301086
18,-1.5371623039245605
19,0.9611209630966187
20,-1.5699527263641357
21,0.4559035301208496
22,1.985022783279419
23,0.9156677722930908
24,2.5270280838012695
25,-0.6815090775489807
26,-0.41216835379600525
27,-0.6346782445907593
28,-0.5889894962310791
29,0.8110159635543823
30,0.16072402894496918
31,-2.1547656059265137
32,-0.5654200911521912
33,-0.4460534453392029
34,-0.6289471983909607
35,-0.288046658039093
36,-0.5391550064086914
37,0.9059393405914307
38,-2.3136513233184814
39,-0.18432575464248657
40,-0.24609655141830444
41,0.15847896039485931
42,0.39705613255500793
43,-3.1327106952667236
44,-0.6353223323822021
45,-2.1962480545043945
46,-0.1935940384864807
47,0.17113542556762695
48,-1.1163119077682495
49,1.3318678140640259
50,0.9103641510009766
51,1.2458804845809937
52,-0.8811517953872681
53,0.2412213832139969
54,0.13286317884922028
55,0.191597118973732
56,-0.9932290315628052
57,-0.6415081024169922
58,0.7123812437057495
59,2.7333579063415527
60,0.4371885657310486
61,-0.47053343057632446
62,-2.3497846126556396
63,-1.364631175994873
64,-2.016392946243286
65,1.3957773447036743
66,0.5076377987861633
67,0.6435179710388184
68,-1.1727356910705566
69,-1.4572062492370605
70,-1.4621555805206299
71,0.2301412671804428
72,0.6470198035240173
73,-0.04670141637325287
74,-1.7151036262512207
75,-0.11927449703216553
76,0.7081153988838196
77,-0.8216554522514343
78,0.27839991450309753
79,-0.5663626790046692
80,-0.8290435671806335
81,-0.978728711605072
82,-0.032441675662994385
83,0.8213232159614563
84,0.19558706879615784
85,0.34633830189704895
86,0.9833025932312012
87,0.19558696448802948
88,0.5069996118545532
89,-1.8993189334869385
90,2.4251744747161865
91,0.1796104609966278
92,0.09091156721115112
93,0.27195635437965393
94,0.5935423374176025
95,0.30893921852111816
96,-1.7306523323059082
97,-0.8407672047615051
98,0.5448498725891113
99,0.7963560819625854
100,0.4963732659816742
101,-1.2457754611968994
102,-0.9840366840362549
103,0.49448361992836
104,-0.6222385168075562
105,0.43784502148628235
106,0.7693958282470703
107,0.29026222229003906
108,0.2380150407552719
109,-0.0005137184634804726
110,-0.05720086395740509
111,0.45896345376968384
112,0.12015734612941742
113,0.04760628938674927
114,0.25226879119873047
115,1.5865473747253418
116,0.530704915523529
117,0.816969633102417
118,-0.3398170471191406
119,-0.42111724615097046
120,-0.31603649258613586
121,1.6382168531417847
122,1.898208737373352
123,0.532964289188385
124,-0.7292382717132568
125,-0.895464301109314
126,-1.677587628364563
127,1.273329496383667
